algorithm,join_ratio,n,best_accuracy_round_series_mean,best_accuracy_round_series_median,best_accuracy_round_series_std,best_accuracy_round_series_reached_n,best_accuracy_round_mean,best_accuracy_round_median,best_accuracy_round_std,best_accuracy_round_reached_n,final_accuracy_r50_mean,final_accuracy_r50_median,final_accuracy_r50_std,final_accuracy_r50_reached_n,normalized_aulc_mean,normalized_aulc_median,normalized_aulc_std,normalized_aulc_reached_n,gain_r0_to_r10_mean,gain_r0_to_r10_median,gain_r0_to_r10_std,gain_r0_to_r10_reached_n,gain_r0_to_r20_mean,gain_r0_to_r20_median,gain_r0_to_r20_std,gain_r0_to_r20_reached_n,mean_gain_per_round_r0_r10_mean,mean_gain_per_round_r0_r10_median,mean_gain_per_round_r0_r10_std,mean_gain_per_round_r0_r10_reached_n,first_round_absolute_mean,first_round_absolute_median,first_round_absolute_std,first_round_absolute_reached_n,sustained_round_absolute_mean,sustained_round_absolute_median,sustained_round_absolute_std,sustained_round_absolute_reached_n,accuracy_round_10_mean,accuracy_round_10_median,accuracy_round_10_std,accuracy_round_10_reached_n,accuracy_round_20_mean,accuracy_round_20_median,accuracy_round_20_std,accuracy_round_20_reached_n,accuracy_round_30_mean,accuracy_round_30_median,accuracy_round_30_std,accuracy_round_30_reached_n,accuracy_round_40_mean,accuracy_round_40_median,accuracy_round_40_std,accuracy_round_40_reached_n,accuracy_round_50_mean,accuracy_round_50_median,accuracy_round_50_std,accuracy_round_50_reached_n,first_round_relative_90_mean,first_round_relative_90_median,first_round_relative_90_std,first_round_relative_90_reached_n,first_round_relative_95_mean,first_round_relative_95_median,first_round_relative_95_std,first_round_relative_95_reached_n,first_round_relative_99_mean,first_round_relative_99_median,first_round_relative_99_std,first_round_relative_99_reached_n,sustained_round_relative_90_mean,sustained_round_relative_90_median,sustained_round_relative_90_std,sustained_round_relative_90_reached_n,sustained_round_relative_95_mean,sustained_round_relative_95_median,sustained_round_relative_95_std,sustained_round_relative_95_reached_n,sustained_round_relative_99_mean,sustained_round_relative_99_median,sustained_round_relative_99_std,sustained_round_relative_99_reached_n
FedAvg,0.1,5,0.6945600000000001,0.6968,0.00728718052472973,5,45.4,45.0,2.9664793948382653,5,0.64706,0.6482,0.025718534172848945,5,0.5224984000000001,0.5222340000000001,0.01221331213471596,5,0.3841,0.3574,0.07799301250753171,5,0.50776,0.5328,0.0739581503284121,5,0.03841,0.03574,0.0077993012507531715,5,26.2,26.0,5.585696017507576,5,49.5,49.5,0.7071067811865476,2,0.441,0.4143,0.07799301250753171,5,0.56466,0.5897,0.07395815032841208,5,0.55944,0.5227,0.054899435334072426,5,0.63256,0.6334,0.030880301164334528,5,0.64706,0.6482,0.025718534172848945,5,19.6,21.0,4.61519230368573,5,33.2,32.0,9.934787365615833,5,38.2,41.0,9.757048734120374,5,49.25,49.5,0.9574271077563381,4,49.0,49.0,,1,,,,0
FedAvg,0.25,5,0.70892,0.7118,0.006520506115325702,5,44.8,45.0,2.8635642126552705,5,0.6552,0.6629,0.01818790807102346,5,0.5890318,0.589962,0.00516225262845594,5,0.4668,0.4954,0.057618920503598486,5,0.56064,0.549,0.04480003348213034,5,0.04668,0.04954,0.005761892050359848,5,17.8,18.0,2.3874672772626644,5,46.666666666666664,46.0,2.0816659994661326,3,0.5237,0.5523,0.057618920503598466,5,0.6175400000000001,0.6059,0.04480003348213034,5,0.6508,0.6415,0.02086671991473505,5,0.6577,0.66,0.04212267797754555,5,0.6552,0.6629,0.01818790807102346,5,15.0,15.0,2.5495097567963922,5,21.6,22.0,4.03732584763727,5,40.4,41.0,1.816590212458495,5,43.25,43.5,5.315072906367325,4,,,,0,,,,0
FedAvg,0.5,5,0.7144999999999999,0.7146,0.0006204836822995192,5,46.8,46.0,2.7748873851023212,5,0.7050600000000001,0.7095,0.011101035987690518,5,0.6304408,0.634057,0.00923158343405935,5,0.5593600000000001,0.5677000000000001,0.02702291620088403,5,0.61014,0.6183000000000001,0.013645622008541787,5,0.05593600000000001,0.05677000000000001,0.0027022916200884024,5,16.4,18.0,2.302172886644268,5,28.2,23.0,13.330416347586446,5,0.61626,0.6246,0.02702291620088403,5,0.66704,0.6752,0.013645622008541787,5,0.66702,0.6817,0.030571833441911868,5,0.69876,0.6993,0.009061346478311062,5,0.7050600000000001,0.7095,0.011101035987690518,5,14.8,14.0,2.16794833886788,5,22.6,22.0,2.073644135332772,5,42.2,41.0,3.5637059362410923,5,25.8,18.0,15.073154945133417,5,41.0,36.0,6.928203230275509,5,49.666666666666664,50.0,0.5773502691896258,3
FedAvg,0.75,5,0.7155400000000001,0.7154,0.0019501282009139996,5,46.6,46.0,2.4083189157584592,5,0.7094799999999999,0.7099,0.00455708239995722,5,0.647825,0.6480119999999999,0.0027437850681130004,5,0.57314,0.5736,0.015473784281810317,5,0.62348,0.6253000000000001,0.003954364677163713,5,0.05731400000000001,0.05736,0.0015473784281810322,5,12.2,12.0,0.8366600265340756,5,15.4,14.0,3.714835124201342,5,0.6300399999999999,0.6305,0.015473784281810317,5,0.68038,0.6822,0.003954364677163713,5,0.69492,0.6953,0.004699148859102046,5,0.7044599999999999,0.7055,0.004837664725877583,5,0.7094799999999999,0.7099,0.00455708239995722,5,11.4,11.0,1.1401754250991378,5,20.6,20.0,1.8165902124584952,5,39.4,39.0,3.847076812334269,5,14.6,14.0,4.449719092257398,5,30.4,29.0,8.080841540334768,5,48.666666666666664,49.0,1.5275252316519465,3
FedAvg,1.0,5,0.7152000000000001,0.715,0.0006164414002968838,5,49.2,50.0,1.3038404810405297,5,0.71512,0.715,0.0007429670248402755,5,0.6583238,0.6583060000000001,0.00010137652588247748,5,0.58108,0.5809000000000001,0.0011627553482998914,5,0.6261800000000001,0.6261000000000001,0.0012316655390161603,5,0.05810800000000001,0.05809000000000001,0.00011627553482999047,5,11.8,12.0,0.4472135954999579,5,11.8,12.0,0.4472135954999579,5,0.63798,0.6378,0.0011627553482998914,5,0.68308,0.683,0.0012316655390161603,5,0.69838,0.6986,0.0006610597552415509,5,0.7092400000000001,0.709,0.0006268971207463266,5,0.71512,0.715,0.0007429670248402755,5,11.0,11.0,0.0,5,19.4,19.0,0.5477225575051661,5,39.4,40.0,0.8944271909999159,5,11.0,11.0,0.0,5,19.4,19.0,0.5477225575051661,5,39.4,40.0,0.8944271909999159,5
FedProx,0.1,5,0.6986800000000001,0.6963,0.006813736126384692,5,40.2,43.0,8.408329203831164,5,0.6144000000000001,0.6598,0.10509873928834731,5,0.522655,0.526542,0.014491783965406126,5,0.44279999999999997,0.4261,0.08721536561867983,5,0.5076400000000001,0.5412,0.06178485251256979,5,0.04428,0.042609999999999995,0.008721536561867985,5,27.6,28.0,4.159326868617084,5,50.0,50.0,0.0,3,0.4997,0.483,0.08721536561867982,5,0.5645399999999999,0.5981,0.061784852512569766,5,0.61776,0.6118,0.05762554121220903,5,0.6472,0.6539,0.03125155996106431,5,0.6144000000000001,0.6598,0.10509873928834731,5,22.4,24.0,7.436396977031283,5,31.8,30.0,7.854934754662192,5,40.2,43.0,8.408329203831164,5,50.0,50.0,0.0,3,50.0,50.0,0.0,2,50.0,50.0,0.0,2
FedProx,0.25,5,0.7064199999999999,0.7054,0.0037903825664436573,5,44.4,47.0,5.594640292279746,5,0.67722,0.6854,0.027941313498115985,5,0.5862948,0.585618,0.005479459161267644,5,0.43064,0.45459999999999995,0.07512538186259024,5,0.5413800000000001,0.5225000000000001,0.035653569246290026,5,0.043064000000000005,0.045459999999999993,0.007512538186259025,5,16.0,17.0,2.5495097567963922,5,48.25,48.5,2.0615528128088303,4,0.48754,0.5115,0.07512538186259023,5,0.59828,0.5794,0.035653569246290026,5,0.64974,0.6456,0.02467950566765871,5,0.6851799999999999,0.6987,0.024905260488499177,5,0.67722,0.6854,0.027941313498115985,5,14.6,14.0,3.2863353450309964,5,26.4,24.0,4.505552130427524,5,39.4,37.0,6.54217089351845,5,48.4,50.0,2.1908902300206647,5,47.666666666666664,47.0,2.0816659994661326,3,50.0,50.0,0.0,2
FedProx,0.5,5,0.71236,0.7119,0.002660451089571103,5,45.6,46.0,4.39317652729776,5,0.69014,0.7038,0.02765326382183485,5,0.6295632,0.63137,0.004598081850076188,5,0.5301600000000001,0.5656000000000001,0.06756206775994945,5,0.61892,0.6223000000000001,0.007425092592015282,5,0.053015999999999994,0.05656000000000001,0.006756206775994948,5,15.0,16.0,1.8708286933869707,5,28.8,25.0,7.886697661252141,5,0.5870599999999999,0.6225,0.06756206775994943,5,0.6758200000000001,0.6792,0.007425092592015282,5,0.6757,0.6938,0.030192797154288287,5,0.69582,0.7003,0.013610914737812433,5,0.69014,0.7038,0.02765326382183485,5,12.0,11.0,2.0,5,20.2,20.0,1.4832396974191326,5,42.4,43.0,4.159326868617084,5,28.2,25.0,8.5848704125339,5,44.666666666666664,49.0,8.386497083606084,3,49.666666666666664,50.0,0.5773502691896258,3
FedProx,0.75,5,0.715,0.7159,0.0026514147167125655,5,49.2,49.0,0.8366600265340756,5,0.7094799999999999,0.7125,0.007644736751517326,5,0.6481074,0.647988,0.003961012976499844,5,0.56952,0.5702,0.009048591050544856,5,0.62334,0.6242000000000001,0.0024673872821266173,5,0.056952,0.05702,0.0009048591050544866,5,12.6,12.0,0.8944271909999159,5,13.0,13.0,1.0,5,0.6264200000000001,0.6271,0.009048591050544855,5,0.6802399999999998,0.6811,0.0024673872821266178,5,0.69892,0.7015,0.005375127905454906,5,0.7039,0.7039,0.004389191269470945,5,0.7094799999999999,0.7125,0.007644736751517326,5,12.0,12.0,1.224744871391589,5,20.8,20.0,1.6431676725154982,5,40.4,40.0,4.9295030175464944,5,12.0,12.0,1.224744871391589,5,28.2,25.0,7.362064927722384,5,48.75,49.0,1.5,4
FedProx,1.0,5,0.71568,0.7155,0.000892748564826617,5,49.4,50.0,0.8944271909999159,5,0.71534,0.7155,0.0006268971207462868,5,0.6584072,0.6583399999999999,0.0004818803793474301,5,0.58174,0.5810000000000001,0.002994661917479157,5,0.62584,0.6258,0.0011058933040759102,5,0.058174000000000003,0.058100000000000006,0.0002994661917479147,5,12.0,12.0,0.0,5,12.0,12.0,0.0,5,0.63864,0.6379,0.002994661917479157,5,0.68274,0.6827,0.0011058933040759104,5,0.6981200000000001,0.6981,0.0003492849839314641,5,0.70892,0.7089,0.0005932958789676419,5,0.71534,0.7155,0.0006268971207462868,5,11.2,11.0,0.4472135954999579,5,19.2,19.0,0.4472135954999579,5,40.0,40.0,1.0,5,11.2,11.0,0.4472135954999579,5,19.2,19.0,0.4472135954999579,5,40.0,40.0,1.0,5
