algorithm,join_ratio,round,n,accuracy_mean,accuracy_median,accuracy_std,accuracy_q1,accuracy_q3,train_loss_mean,train_loss_std
FedAvg,0.1,0,5,0.05689999999999999,0.0569,0.0,0.0569,0.0569,2.3126,0.0
FedAvg,0.1,1,5,0.18788,0.1918,0.011013945705331941,0.1775,0.1974,2.64842,0.29642425170690745
FedAvg,0.1,2,5,0.25184,0.2474,0.03494693119574307,0.2309,0.2499,2.20364,0.2505044370864516
FedAvg,0.1,3,5,0.3055,0.2919,0.08243555058347095,0.2891,0.3259,2.10408,0.5378038276174687
FedAvg,0.1,4,5,0.386,0.3186,0.1126931896788799,0.3057,0.4917,1.8324200000000002,0.3381829637932698
FedAvg,0.1,5,5,0.35287999999999997,0.3525,0.11227774490075938,0.2853,0.3775,1.8406599999999997,0.2527077818350673
FedAvg,0.1,6,5,0.35406,0.3309,0.13232189161283933,0.236,0.4247,1.89186,0.5300793553799281
FedAvg,0.1,7,5,0.36706,0.3689,0.07983509879745876,0.3313,0.4126,1.8020400000000003,0.26342325827458757
FedAvg,0.1,8,5,0.42919999999999997,0.4276,0.08825939043523921,0.3726,0.5014,1.5322200000000001,0.22885210726580607
FedAvg,0.1,9,5,0.45204000000000005,0.4167,0.10642336679507937,0.4088,0.5094,1.47608,0.38084734080731086
FedAvg,0.1,10,5,0.441,0.4143,0.07799301250753171,0.3977,0.4851,1.51206,0.2876456378949626
FedAvg,0.1,11,5,0.49856,0.5186,0.0560558917510015,0.4829,0.5322,1.2730599999999999,0.10863637972613037
FedAvg,0.1,12,5,0.48148,0.4893,0.11388023094462009,0.4322,0.5025,1.4494799999999999,0.31527435988357816
FedAvg,0.1,13,5,0.46104,0.474,0.0747870510182077,0.4204,0.4791,1.49126,0.3169467825992243
FedAvg,0.1,14,5,0.5660000000000001,0.5883,0.053296763503987786,0.517,0.5902,1.13266,0.09194774603001417
FedAvg,0.1,15,5,0.5396000000000001,0.5399,0.05693715834145573,0.5319,0.5527,1.1951800000000001,0.1904532278539799
FedAvg,0.1,16,5,0.51956,0.4991,0.03353778466148291,0.4983,0.5456,1.3355000000000001,0.21998011273749268
FedAvg,0.1,17,5,0.51196,0.5326,0.06824245745868182,0.4946,0.5622,1.32554,0.21929854764680962
FedAvg,0.1,18,5,0.57204,0.5689,0.031391925713469715,0.5684,0.5855,1.1502,0.15951208418173204
FedAvg,0.1,19,5,0.5522199999999999,0.5422,0.05547911318685621,0.5313,0.5538,1.14406,0.13007506678837413
FedAvg,0.1,20,5,0.5646599999999999,0.5897,0.07395815032841213,0.5015,0.6067,1.1125399999999999,0.1427172659491486
FedAvg,0.1,21,5,0.54196,0.5343,0.057697816249837365,0.5299,0.5435,1.20534,0.15700887872983488
FedAvg,0.1,22,5,0.56656,0.573,0.08132974855487997,0.5221,0.6137,1.27646,0.37927966990072115
FedAvg,0.1,23,5,0.5482400000000001,0.5504,0.04382234589795486,0.5061,0.5759,1.24776,0.1878816728688565
FedAvg,0.1,24,5,0.55092,0.5713,0.08446976974042249,0.5165,0.5918,1.2473,0.3184821423565221
FedAvg,0.1,25,5,0.5368999999999999,0.5666,0.07113578564969958,0.5135,0.5672,1.30322,0.3348101805501142
FedAvg,0.1,26,5,0.5617,0.5903,0.08177698331437765,0.5059,0.6095,1.23984,0.29214063051893346
FedAvg,0.1,27,5,0.5762,0.5575,0.06770443116960662,0.5381,0.5746,1.1301,0.17404418979098385
FedAvg,0.1,28,5,0.58314,0.6072,0.06603224969664444,0.5162,0.6262,1.12556,0.15037176596688615
FedAvg,0.1,29,5,0.58472,0.5865,0.06989103662130074,0.5716,0.6019,1.13192,0.28023498532481633
FedAvg,0.1,30,5,0.55944,0.5227,0.05489943533407245,0.5215,0.6174,1.1494399999999998,0.20949458942893964
FedAvg,0.1,31,5,0.57466,0.607,0.076498254882056,0.5079,0.6318,1.1818199999999999,0.25355379508104386
FedAvg,0.1,32,5,0.60874,0.5973,0.036885945833067604,0.593,0.6137,1.02904,0.08043660858091921
FedAvg,0.1,33,5,0.5856600000000001,0.5782,0.03351049089464369,0.5699,0.6,1.07054,0.0827352282888009
FedAvg,0.1,34,5,0.55846,0.5299,0.07120834220791827,0.5265,0.5675,1.21442,0.22849092323328732
FedAvg,0.1,35,5,0.6057,0.619,0.039886087800134015,0.5778,0.6282,1.00814,0.09723020621185577
FedAvg,0.1,36,5,0.5769,0.5676,0.04157817937332033,0.5623,0.5686,1.08368,0.1923426031850458
FedAvg,0.1,37,5,0.59738,0.5966,0.04617847983639136,0.5959,0.6166,1.1469799999999999,0.18644377704820286
FedAvg,0.1,38,5,0.5547,0.5543,0.048556976841644534,0.5257,0.5907,1.24452,0.2576475926532208
FedAvg,0.1,39,5,0.5304399999999999,0.5365,0.06470241881104596,0.5066,0.5737,1.3465799999999999,0.2736373366337277
FedAvg,0.1,40,5,0.63256,0.6334,0.03088030116433452,0.6231,0.6588,0.9481999999999999,0.08518371323204925
FedAvg,0.1,41,5,0.61548,0.6305,0.07962199444877026,0.6093,0.6466,1.0932,0.320096118376965
FedAvg,0.1,42,5,0.5922,0.6168,0.09826329426596687,0.493,0.6827,1.1594000000000002,0.3507957739198122
FedAvg,0.1,43,5,0.63418,0.6525,0.046084672072176015,0.6207,0.6554,1.00306,0.15331090306954692
FedAvg,0.1,44,5,0.63544,0.6438,0.026166161353931957,0.6383,0.6443,0.96864,0.0661909963665754
FedAvg,0.1,45,5,0.59878,0.5559,0.08316109066143854,0.5552,0.6848,1.05946,0.2128437408053147
