algorithm,join_ratio,rep,initial_accuracy_r0,final_accuracy_r50,best_accuracy_round_series,best_accuracy_round,normalized_aulc,gain_r0_to_r10,gain_r0_to_r20,mean_gain_per_round_r0_r10,absolute_threshold,first_round_absolute,sustained_round_absolute,accuracy_round_10,accuracy_round_20,accuracy_round_30,accuracy_round_40,accuracy_round_50,relative_threshold_90,first_round_relative_90,sustained_round_relative_90,relative_threshold_95,first_round_relative_95,sustained_round_relative_95,relative_threshold_99,first_round_relative_99,sustained_round_relative_99
FedAvg,0.1,rep1,0.0569,0.6687,0.6978,49,0.5394200000000001,0.4957,0.5938,0.049569999999999996,0.65,20.0,49.0,0.5526,0.6507,0.6174,0.6617,0.6687,0.62802,12.0,49.0,0.66291,49.0,49.0,0.6908219999999999,49.0,
FedAvg,0.1,rep2,0.0569,0.6047,0.6848,45,0.51985,0.3574,0.5498000000000001,0.03574,0.65,29.0,,0.4143,0.6067,0.5215,0.6334,0.6047,0.61632,21.0,,0.6505599999999999,29.0,,0.677952,29.0,
FedAvg,0.1,rep3,0.0569,0.6471,0.6968,47,0.5222340000000001,0.3408,0.5328,0.03408,0.65,22.0,,0.3977,0.5897,0.6215,0.6588,0.6471,0.62712,22.0,50.0,0.66196,22.0,,0.689832,27.0,
FedAvg,0.1,rep4,0.0569,0.6482,0.6899,45,0.5053670000000001,0.2984,0.44459999999999994,0.02984,0.65,26.0,,0.3553,0.5015,0.5227,0.5858,0.6482,0.62091,19.0,48.0,0.6554049999999999,32.0,,0.683001,45.0,
FedAvg,0.1,rep5,0.0569,0.6666,0.7035,41,0.5256210000000001,0.42819999999999997,0.4178,0.04282,0.65,34.0,50.0,0.4851,0.4747,0.5141,0.6231,0.6666,0.63315,24.0,50.0,0.668325,34.0,,0.696465,41.0,
FedAvg,0.25,rep1,0.0569,0.6697,0.7118,45,0.588,0.5088,0.5062000000000001,0.05088,0.65,19.0,49.0,0.5657,0.5631,0.6843,0.66,0.6697,0.64062,11.0,49.0,0.67621,26.0,,0.704682,39.0,
FedAvg,0.25,rep2,0.0569,0.6343,0.7054,41,0.5948840000000001,0.4014,0.6137,0.040139999999999995,0.65,16.0,,0.4583,0.6706,0.6415,0.6958,0.6343,0.6348600000000001,16.0,,0.67013,17.0,,0.698346,38.0,
FedAvg,0.25,rep3,0.0569,0.6629,0.7126,47,0.589962,0.4954,0.5990000000000001,0.04954,0.65,18.0,45.0,0.5523,0.6559,0.6571,0.5922,0.6629,0.64134,18.0,41.0,0.67697,18.0,,0.705474,41.0,
FedAvg,0.25,rep4,0.0569,0.6721,0.7155,48,0.580966,0.4076,0.549,0.040760000000000005,0.65,21.0,46.0,0.4645,0.6059,0.6393,0.693,0.6721,0.64395,15.0,46.0,0.679725,25.0,,0.708345,42.0,
FedAvg,0.25,rep5,0.0569,0.637,0.6993,43,0.591347,0.5208,0.5353,0.05208,0.65,15.0,,0.5777,0.5922,0.6318,0.6475,0.637,0.6293700000000001,15.0,37.0,0.664335,22.0,,0.692307,42.0,
FedAvg,0.5,rep1,0.0569,0.7134,0.7145,46,0.6140050000000001,0.5533,0.6183000000000001,0.055330000000000004,0.65,18.0,50.0,0.6102,0.6752,0.6585,0.7084,0.7134,0.64305,13.0,50.0,0.678775,26.0,50.0,0.7073550000000001,40.0,50.0
FedAvg,0.5,rep2,0.0569,0.6993,0.7135,46,0.6356539999999999,0.5797000000000001,0.5999000000000001,0.05797000000000001,0.65,13.0,16.0,0.6366,0.6568,0.6817,0.6993,0.6993,0.64215,13.0,16.0,0.677825,21.0,36.0,0.706365,39.0,
FedAvg,0.5,rep3,0.0569,0.7095,0.7146,49,0.6333580000000001,0.5153000000000001,0.6189,0.051530000000000006,0.65,18.0,31.0,0.5722,0.6758,0.6171,0.7067,0.7095,0.64314,16.0,31.0,0.67887,22.0,47.0,0.707454,41.0,49.0
