algorithm,join_ratio,rep,planned_run,exit_code,global_rounds_parameter,logged_evaluations,local_epochs,batch_size,learning_rate,best_accuracy_from_rounds,best_accuracy_round,best_accuracy_reported,final_accuracy_round_50,initial_accuracy_round_0,total_time_reported_s,sum_iteration_time_s,monitor_samples,monitor_duration_s,cpu_util_fraction_mean,gpu_util_fraction_mean,estimated_power_mean_w,estimated_power_peak_w,estimated_energy_j
FedAvg,0.1,rep1,True,0,50,51,5,10,0.005,0.6978,49,0.6978285714285715,0.6687,0.0569,1709.63,1706.3880770206451,1599,1599.0,0.13367839274546592,0.6156347717323327,14.161523608505314,17.90625,22644.27625
FedAvg,0.1,rep2,True,0,50,51,5,10,0.005,0.6848,45,0.6848,0.6047,0.0569,1199.88,1196.1215183734894,1118,1118.0,0.1346106663685152,0.6138819320214669,14.157979315742397,17.08125,15828.620875
FedAvg,0.1,rep3,True,0,50,51,5,10,0.005,0.6968,47,0.6968,0.6471,0.0569,1265.83,1262.4347417354584,1182,1182.0,0.13419071489001694,0.5781218274111676,13.794078997461927,16.90625,16304.601374999998
FedAvg,0.1,rep4,True,0,50,51,5,10,0.005,0.6899,45,0.6898857142857143,0.6482,0.0569,1546.82,1542.6145107746124,1457,1457.0,0.13298878689087165,0.4480851063829787,12.475682867192862,16.00625,18177.0699375
FedAvg,0.1,rep5,True,0,50,51,5,10,0.005,0.7035,41,0.7034857142857143,0.6666,0.0569,1704.79,1698.3559820652008,1624,1624.0,0.1313793488300493,0.47367610837438423,12.70745131619458,17.5625,20636.9009375
FedAvg,0.25,rep1,True,0,50,51,5,10,0.005,0.7118,45,0.7118285714285715,0.6697,0.0569,2840.18,2833.6737847328186,2834,2834.0,0.1251771656669019,0.5456069160197601,13.333726645201128,17.575,37787.781312499996
FedAvg,0.25,rep2,True,0,50,51,5,10,0.005,0.7054,41,0.7053714285714285,0.6343,0.0569,2240.81,2235.2896938323975,2241,2241.0,0.12496159080767512,0.6740562248995984,14.614986111111111,17.675,32752.183875
FedAvg,0.25,rep3,True,0,50,51,5,10,0.005,0.7126,47,0.7126285714285714,0.6629,0.0569,2773.31,2768.9302232265472,2772,2772.0,0.12498383387445886,0.7511652236652236,15.386409744769121,17.775,42651.1278125
FedAvg,0.25,rep4,True,0,50,51,5,10,0.005,0.7155,48,0.7154857142857143,0.6721,0.0569,4073.12,4068.2107770442963,4068,4068.0,0.1249982331612586,0.8629473942969519,16.5044474403884,17.793750000000003,67140.0921875
FedAvg,0.25,rep5,True,0,50,51,5,10,0.005,0.6993,43,0.6992571428571429,0.637,0.0569,3775.01,3770.112101793289,3771,3771.0,0.1249989028109255,0.8456377618668789,16.33136116083267,17.793750000000003,61585.5629375
FedAvg,0.5,rep1,True,0,50,51,5,10,0.005,0.7145,46,0.7144571428571429,0.7134,0.0569,6777.9,6773.346288204193,6766,6766.0,0.1250125166272539,0.889494531480934,16.77013306421815,17.8125,113466.7203125
FedAvg,0.5,rep2,True,0,50,51,5,10,0.005,0.7135,46,0.7134857142857143,0.6993,0.0569,6765.93,6760.150039196014,6679,6679.0,0.12635959163048358,0.856141637969756,16.456810254154814,17.83125,109915.0356875
FedAvg,0.5,rep3,True,0,50,51,5,10,0.005,0.7146,49,0.7145714285714285,0.7095,0.0569,5137.62,5132.78454208374,5024,5024.0,0.12763306628184712,0.8350338375796177,16.264834370023884,17.83125,81714.527875
FedAvg,0.5,rep4,True,0,50,51,5,10,0.005,0.7147,50,0.7146857142857143,0.7147,0.0569,3962.91,3958.1951718330383,3915,3915.0,0.1263457694763729,0.7801302681992337,15.696489224137931,17.731250000000003,61451.7553125
FedAvg,0.5,rep5,True,0,50,51,5,10,0.005,0.7152,43,0.7152,0.6884,0.0569,3665.3,3660.557729959488,3663,3663.0,0.12494103535353536,0.7236773136773137,15.110888667076168,17.59375,55351.1851875
FedAvg,0.75,rep1,True,0,50,51,5,10,0.005,0.7141,44,0.7141142857142857,0.7064,0.0569,5889.04,5884.383272886276,5882,5882.0,0.1249477792417545,0.8133713022781367,16.007929711407684,17.8125,94158.6425625
FedAvg,0.75,rep2,True,0,50,51,5,10,0.005,0.7183,48,0.7183428571428572,0.7142,0.0569,5616.55,5611.525866270065,5608,5608.0,0.12495770105206847,0.7382132667617688,15.256498183398715,17.793750000000003,85558.4418125
FedAvg,0.75,rep3,True,0,50,51,5,10,0.005,0.7165,46,0.7165142857142857,0.7035,0.0569,5148.09,5143.565003871918,5103,5103.0,0.12588909220066627,0.7413521457965903,15.301857840975899,17.7125,78085.38056250001
FedAvg,0.75,rep4,True,0,50,51,5,10,0.005,0.7134,50,0.7134285714285714,0.7134,0.0569,5373.79,5369.234931707382,5266,5266.0,0.127343564849981,0.7835282947208506,15.74543641995822,17.8125,82915.4681875
FedAvg,0.75,rep5,True,0,50,51,5,10,0.005,0.7154,45,0.7154285714285714,0.7099,0.0569,5335.11,5330.820465326309,5269,5269.0,0.12634024245587397,0.7990036059973429,15.885139696811542,17.83125,83698.80106250002
FedAvg,1.0,rep1,True,0,50,51,5,10,0.005,0.7155,50,0.7154857142857143,0.7155,0.0569,7295.59,7290.6415548324585,7284,7284.0,0.12492324272377815,0.7716790225151016,15.590638866007687,17.69375,113562.2135
FedAvg,1.0,rep2,True,0,50,51,5,10,0.005,0.7149,50,0.7149142857142857,0.7149,0.0569,6419.7,6415.556918382645,6411,6411.0,0.12491680510060832,0.7664451723600063,15.538203800109187,17.65625,99615.4245625
FedAvg,1.0,rep3,True,0,50,51,5,10,0.005,0.715,50,0.7150285714285715,0.715,0.0569,6307.99,6303.270835638046,6300,6300.0,0.12491830357142858,0.742642857142857,15.300203125000001,17.49375,96391.2796875
FedAvg,1.0,rep4,True,0,50,51,5,10,0.005,0.7145,47,0.7145142857142858,0.7141,0.0569,6762.51,6758.222008943558,6753,6753.0,0.12492477602547016,0.7912009477269362,15.785881117651414,17.75625,106602.0551875
FedAvg,1.0,rep5,True,0,50,51,5,10,0.005,0.7161,49,0.7160571428571428,0.7161,0.0569,7034.23,7029.339161872864,7026,7026.0,0.12492213208084259,0.7513393111300882,15.387225092513521,17.69375,108110.6435
