algorithm,join_ratio,accuracy_mean,accuracy_std,time_median_s,energy_median_j,energy_median_kj,energy_efficiency_acc_per_kj,time_efficiency_acc_per_1000s,configuration,pareto_accuracy_time_global,pareto_accuracy_energy_global,pareto_accuracy_time_energy_global,pareto_accuracy_time_within_algorithm,pareto_accuracy_energy_within_algorithm,normalized_quality_loss,normalized_time_cost,normalized_energy_cost,ideal_distance_accuracy_time,ideal_distance_accuracy_energy,ideal_distance_accuracy_time_energy,normalized_aulc_mean,first_round_relative_95_median,first_round_absolute_median,sustained_round_absolute_median,sustained_round_absolute_reached_n,accuracy_cv_percent,energy_cv_percent,time_cv_percent
FedAvg,0.1,0.69456,0.0072882796603974,1546.82,18177.0699375,18.1770699375,0.038210778876253,0.4490244501622684,FedAvg_q0.10,False,True,True,True,True,1.0,0.0250290100344028,0.0,0.7073282305066376,0.7071067811865476,0.5775310818023282,0.5224984000000001,32.0,26.0,49.5,2,1.049337661310392,15.475224118375436,16.210447051415024
FedAvg,0.25,0.7089142857142857,0.0065437928214297,2840.18,42651.1278125,42.6511278125,0.0166212318893598,0.2496018863995541,FedAvg_q0.25,False,False,False,True,True,0.7789121633515221,0.2140487485494982,0.2201995495216331,0.5711921852461546,0.5723600264809199,0.4833938582502143,0.5890318,22.0,18.0,46.0,3,0.9230725002016836,31.26944912804121,24.181454267588585
FedAvg,0.5,0.71448,0.000624140224956,5137.62,81714.527875,81.714527875,0.0087436104519009,0.1390682845364196,FedAvg_q0.50,False,False,False,True,True,0.6931878190459423,0.5498110328741417,0.5716632561320695,0.6256203019179447,0.6353377963277449,0.6081667542035163,0.6304408,22.0,18.0,23.0,5,0.0873558706970121,31.764436706678783,28.20783554259359
FedAvg,0.75,0.7155657142857142,0.0019560893932245,5373.79,83698.80106250002,83.69880106250001,0.0085492946756953,0.1331584811251861,FedAvg_q0.75,False,False,False,True,True,0.676465411019187,0.584326397231405,0.5895162850105246,0.6320770486288801,0.6344820338661953,0.6182157770820265,0.647825,20.0,12.0,14.0,5,0.2733626491841051,6.919067391160991,5.233565445779098
FedAvg,1.0,0.7152000000000001,0.000591090310445,6762.51,106602.0551875,106.6020551875,0.0067090638988343,0.105759547860188,FedAvg_q1.00,False,False,False,False,False,0.6820982221439875,0.7872826439613823,0.7955828991642874,0.7365704128373651,0.7410162393951435,0.756752732750812,0.6583238,19.0,12.0,12.0,5,0.0826468554872812,6.547779486363357,6.105072329491363
FedProx,0.1,0.6987085714285715,0.0068172170993442,1765.78,26335.7016875,26.3357016875,0.0265308507713013,0.3956940113879257,FedProx_q0.10,False,False,False,True,True,0.9361027988030266,0.0570291971016271,0.0734053602895998,0.6631518601530557,0.6639566239017823,0.5431172759076877,0.522655,30.0,28.0,50.0,3,0.9756882022222636,11.684172093305175,12.052659234544445
FedProx,0.25,0.7064,0.0037777004127065,2959.57,45800.0469375,45.8000469375,0.0154235649793977,0.2386833222393793,FedProx_q0.25,False,False,False,True,True,0.8176377398345352,0.2314971516092165,0.2485312048746814,0.600883684586671,0.6042761096544311,0.5111719099615994,0.5862948,24.0,17.0,48.5,4,0.5347820516288989,37.07934563425584,32.60493142889629
FedProx,0.5,0.7123542857142857,0.0026979659760944,5395.59,81180.4378125,81.18043781249999,0.0087749500361107,0.1320252809635805,FedProx_q0.50,False,False,False,True,True,0.7259285337088537,0.5875123858963004,0.5668579070654312,0.6603571153679839,0.6512680411532902,0.630732623340205,0.6295632,20.0,16.0,25.0,5,0.3787393478498121,15.066980089983227,10.924510639845767
FedProx,0.75,0.7149828571428571,0.002632729630274,6192.09,95130.8800625,95.1308800625,0.007515780960642,0.1154671293768109,FedProx_q0.75,False,False,False,True,True,0.6854427037493396,0.7039178891802071,0.6923737130166565,0.6947417127361518,0.6889169248173819,0.6939532773195408,0.6481074,20.0,12.0,13.0,5,0.3682227628218412,3.691614066237813,3.8851057484414273
FedProx,1.0,0.7156800000000001,0.000894062044142,8218.02,129321.9743125,129.3219743125,0.0055340942929822,0.0870866705118751,FedProx_q1.00,False,False,False,True,True,0.6747051575426845,1.0,1.0,0.8530026522862337,0.8530026522862337,0.9046596136327922,0.6584072,19.0,12.0,12.0,5,0.1249248329060591,15.29855337064526,12.730126226993304
