metric,algorithm,join_ratio_a,join_ratio_b,mann_whitney_u,p_value_raw,cliffs_delta_b_minus_a,cliffs_magnitude,p_value_holm,significant_holm_0_05
best_accuracy,FedAvg,0.1,0.25,1.0,0.015873015873015872,0.92,large,0.1111111111111111,False
best_accuracy,FedAvg,0.1,0.5,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
best_accuracy,FedAvg,0.1,0.75,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
best_accuracy,FedAvg,0.1,1.0,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
best_accuracy,FedAvg,0.25,0.5,5.0,0.15079365079365079,0.6,large,0.6031746031746031,False
best_accuracy,FedAvg,0.25,0.75,3.0,0.05555555555555555,0.76,large,0.3333333333333333,False
best_accuracy,FedAvg,0.25,1.0,3.5,0.09523809523809523,0.72,large,0.47619047619047616,False
best_accuracy,FedAvg,0.5,0.75,9.0,0.5476190476190477,0.28,small,1.0,False
best_accuracy,FedAvg,0.5,1.0,5.0,0.15079365079365079,0.6,large,0.6031746031746031,False
best_accuracy,FedAvg,0.75,1.0,13.0,1.0,-0.04,negligible,1.0,False
best_accuracy,FedProx,0.1,0.25,4.0,0.09523809523809523,0.68,large,0.38095238095238093,False
best_accuracy,FedProx,0.1,0.5,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
best_accuracy,FedProx,0.1,0.75,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
best_accuracy,FedProx,0.1,1.0,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
best_accuracy,FedProx,0.25,0.5,3.0,0.05555555555555555,0.76,large,0.2777777777777778,False
best_accuracy,FedProx,0.25,0.75,2.0,0.031746031746031744,0.84,large,0.19047619047619047,False
best_accuracy,FedProx,0.25,1.0,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
best_accuracy,FedProx,0.5,0.75,5.0,0.15079365079365079,0.6,large,0.38095238095238093,False
best_accuracy,FedProx,0.5,1.0,4.0,0.09523809523809523,0.68,large,0.38095238095238093,False
best_accuracy,FedProx,0.75,1.0,12.0,1.0,0.04,negligible,1.0,False
best_accuracy,SCAFFOLD,0.1,0.25,7.0,0.30952380952380953,0.44,medium,0.30952380952380953,False
best_accuracy,SCAFFOLD,0.1,0.5,1.5,0.031746031746031744,0.88,large,0.09523809523809523,False
best_accuracy,SCAFFOLD,0.1,0.75,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
best_accuracy,SCAFFOLD,0.1,1.0,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
best_accuracy,SCAFFOLD,0.25,0.5,5.0,0.15079365079365079,0.6,large,0.30158730158730157,False
best_accuracy,SCAFFOLD,0.25,0.75,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
best_accuracy,SCAFFOLD,0.25,1.0,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
best_accuracy,SCAFFOLD,0.5,0.75,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
best_accuracy,SCAFFOLD,0.5,1.0,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
best_accuracy,SCAFFOLD,0.75,1.0,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
execution_time_s,FedAvg,0.1,0.25,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
execution_time_s,FedAvg,0.1,0.5,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
execution_time_s,FedAvg,0.1,0.75,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
execution_time_s,FedAvg,0.1,1.0,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
execution_time_s,FedAvg,0.25,0.5,3.0,0.05555555555555555,0.76,large,0.16666666666666666,False
execution_time_s,FedAvg,0.25,0.75,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
execution_time_s,FedAvg,0.25,1.0,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
execution_time_s,FedAvg,0.5,0.75,10.0,0.6904761904761905,0.2,small,0.6904761904761905,False
execution_time_s,FedAvg,0.5,1.0,6.0,0.2222222222222222,0.52,large,0.4444444444444444,False
execution_time_s,FedAvg,0.75,1.0,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
execution_time_s,FedProx,0.1,0.25,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
execution_time_s,FedProx,0.1,0.5,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
execution_time_s,FedProx,0.1,0.75,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
execution_time_s,FedProx,0.1,1.0,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
execution_time_s,FedProx,0.25,0.5,3.0,0.05555555555555555,0.76,large,0.07936507936507936,False
execution_time_s,FedProx,0.25,0.75,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
execution_time_s,FedProx,0.25,1.0,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
execution_time_s,FedProx,0.5,0.75,2.0,0.031746031746031744,0.84,large,0.07936507936507936,False
execution_time_s,FedProx,0.5,1.0,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
execution_time_s,FedProx,0.75,1.0,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
execution_time_s,SCAFFOLD,0.1,0.25,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
execution_time_s,SCAFFOLD,0.1,0.5,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
execution_time_s,SCAFFOLD,0.1,0.75,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
execution_time_s,SCAFFOLD,0.1,1.0,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
execution_time_s,SCAFFOLD,0.25,0.5,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
execution_time_s,SCAFFOLD,0.25,0.75,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
execution_time_s,SCAFFOLD,0.25,1.0,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
execution_time_s,SCAFFOLD,0.5,0.75,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
execution_time_s,SCAFFOLD,0.5,1.0,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
execution_time_s,SCAFFOLD,0.75,1.0,8.0,0.42063492063492064,0.36,medium,0.42063492063492064,False
estimated_energy_kj,FedAvg,0.1,0.25,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
estimated_energy_kj,FedAvg,0.1,0.5,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
estimated_energy_kj,FedAvg,0.1,0.75,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
estimated_energy_kj,FedAvg,0.1,1.0,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
estimated_energy_kj,FedAvg,0.25,0.5,4.0,0.09523809523809523,0.68,large,0.2857142857142857,False
estimated_energy_kj,FedAvg,0.25,0.75,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
