algorithm,join_ratio,n,accuracy_mean,accuracy_median,accuracy_std,time_median_s,energy_median_j,energy_median_kj,energy_efficiency_acc_per_kj
FedAvg,0.1,5,0.69456,0.6968,0.007288279660397478,1546.82,18177.0699375,18.1770699375,0.038210778876253085
FedAvg,0.25,5,0.7089142857142857,0.7118285714285715,0.0065437928214297685,2840.18,42651.1278125,42.6511278125,0.0166212318893598
FedAvg,0.5,5,0.71448,0.7145714285714285,0.0006241402249560424,5137.62,81714.527875,81.714527875,0.00874361045190093
FedAvg,0.75,5,0.7155657142857142,0.7154285714285714,0.0019560893932245938,5373.79,83698.80106250002,83.69880106250001,0.008549294675695334
FedAvg,1.0,5,0.7152000000000001,0.7150285714285715,0.0005910903104450375,6762.51,106602.0551875,106.6020551875,0.00670906389883432
FedProx,0.1,5,0.6987085714285715,0.6963428571428572,0.006817217099344275,1765.78,26335.7016875,26.335701687500002,0.02653085077130134
FedProx,0.25,5,0.7064,0.7054285714285714,0.0037777004127065405,2959.57,45800.0469375,45.8000469375,0.015423564979397791
FedProx,0.5,5,0.7123542857142857,0.7118857142857142,0.0026979659760944736,5395.59,81180.4378125,81.18043781249999,0.00877495003611078
FedProx,0.75,5,0.7149828571428571,0.7158857142857142,0.0026327296302740204,6192.09,95130.8800625,95.1308800625,0.007515780960642021
FedProx,1.0,5,0.7156800000000001,0.7154857142857143,0.0008940620441420901,8218.02,129321.9743125,129.3219743125,0.005534094292982224
SCAFFOLD,0.1,5,0.7339657142857143,0.7336571428571429,0.006343577822635864,1375.56,19429.0704375,19.4290704375,0.03777667679196268
SCAFFOLD,0.25,5,0.7392114285714285,0.7377714285714285,0.004905873198191637,2384.23,35525.456125,35.525456125,0.020807936313905064
SCAFFOLD,0.5,5,0.7440114285714285,0.7450857142857142,0.003982697270822907,3948.15,59751.83668750001,59.75183668750001,0.012451691359088793
SCAFFOLD,0.75,5,0.7525714285714286,0.7532571428571428,0.0017042563762293607,5858.57,92415.527375,92.41552737500001,0.008143343980689246
SCAFFOLD,1.0,5,0.7594857142857143,0.7598857142857143,0.001168288474300642,7318.8,108474.2231875,108.4742231875,0.007001531718488798
