algorithm,join_ratio,baseline_join_ratio,accuracy_gain_from_baseline,accuracy_gain_pp_from_baseline,additional_time_s_from_baseline,additional_energy_kj_from_baseline,time_ratio_to_baseline,energy_ratio_to_baseline
FedAvg,0.1,0.1,0.0,0.0,0.0,0.0,1.0,1.0
FedAvg,0.25,0.1,0.014354285714285764,1.4354285714285764,1293.36,24.474057875,1.8361412446179903,2.3464248065915765
FedAvg,0.5,0.1,0.01992000000000005,1.9920000000000049,3590.8,63.5374579375,3.3214077914689493,4.49547304136294
FedAvg,0.75,0.1,0.021005714285714294,2.1005714285714294,3826.9700000000003,65.521731125,3.474088775681721,4.604636575107528
FedAvg,1.0,0.1,0.020640000000000103,2.0640000000000103,5215.6900000000005,88.42498524999999,4.371879080953182,5.864644607411441
FedProx,0.1,0.1,0.0,0.0,0.0,0.0,1.0,1.0
FedProx,0.25,0.1,0.007691428571428571,0.7691428571428571,1193.7900000000002,19.464345249999997,1.6760694990315896,1.7390858797295146
FedProx,0.5,0.1,0.013645714285714261,1.364571428571426,3629.8100000000004,54.84473612499998,3.0556411330969886,3.0825242013973577
FedProx,0.75,0.1,0.016274285714285686,1.6274285714285686,4426.31,68.79517837499999,3.5067165785092143,3.612240189812485
FedProx,1.0,0.1,0.016971428571428637,1.6971428571428637,6452.240000000001,102.986272625,4.654045237798593,4.910519410002335
SCAFFOLD,0.1,0.1,0.0,0.0,0.0,0.0,1.0,1.0
SCAFFOLD,0.25,0.1,0.005245714285714187,0.5245714285714187,1008.6700000000001,16.0963856875,1.7332795370612697,1.828469161161329
SCAFFOLD,0.5,0.1,0.010045714285714213,1.0045714285714213,2572.59,40.322766250000015,2.8702128587629767,3.075383193432309
SCAFFOLD,0.75,0.1,0.018605714285714225,1.8605714285714225,4483.01,72.98645693750001,4.259043589519904,4.756559387248349
SCAFFOLD,1.0,0.1,0.025519999999999987,2.5519999999999987,5943.24,89.04515275,5.320596702433918,5.583088678197089
