dimension,dominator,dominated
accuracy_time,FedAvg_q0.25,FedProx_q0.25
accuracy_time,FedAvg_q0.50,FedProx_q0.50
accuracy_time,FedAvg_q0.75,FedAvg_q1.00
accuracy_time,FedAvg_q0.75,FedProx_q0.50
accuracy_time,FedAvg_q0.75,FedProx_q0.75
accuracy_time,SCAFFOLD_q0.10,FedAvg_q0.10
accuracy_time,SCAFFOLD_q0.10,FedAvg_q0.25
accuracy_time,SCAFFOLD_q0.10,FedAvg_q0.50
accuracy_time,SCAFFOLD_q0.10,FedAvg_q0.75
accuracy_time,SCAFFOLD_q0.10,FedAvg_q1.00
accuracy_time,SCAFFOLD_q0.10,FedProx_q0.10
accuracy_time,SCAFFOLD_q0.10,FedProx_q0.25
accuracy_time,SCAFFOLD_q0.10,FedProx_q0.50
accuracy_time,SCAFFOLD_q0.10,FedProx_q0.75
accuracy_time,SCAFFOLD_q0.10,FedProx_q1.00
accuracy_time,SCAFFOLD_q0.25,FedAvg_q0.25
accuracy_time,SCAFFOLD_q0.25,FedAvg_q0.50
accuracy_time,SCAFFOLD_q0.25,FedAvg_q0.75
accuracy_time,SCAFFOLD_q0.25,FedAvg_q1.00
accuracy_time,SCAFFOLD_q0.25,FedProx_q0.25
accuracy_time,SCAFFOLD_q0.25,FedProx_q0.50
accuracy_time,SCAFFOLD_q0.25,FedProx_q0.75
accuracy_time,SCAFFOLD_q0.25,FedProx_q1.00
accuracy_time,SCAFFOLD_q0.50,FedAvg_q0.50
accuracy_time,SCAFFOLD_q0.50,FedAvg_q0.75
accuracy_time,SCAFFOLD_q0.50,FedAvg_q1.00
accuracy_time,SCAFFOLD_q0.50,FedProx_q0.50
accuracy_time,SCAFFOLD_q0.50,FedProx_q0.75
accuracy_time,SCAFFOLD_q0.50,FedProx_q1.00
accuracy_time,SCAFFOLD_q0.75,FedAvg_q1.00
accuracy_time,SCAFFOLD_q0.75,FedProx_q0.75
accuracy_time,SCAFFOLD_q0.75,FedProx_q1.00
accuracy_time,SCAFFOLD_q1.00,FedProx_q1.00
accuracy_energy,FedAvg_q0.25,FedProx_q0.25
accuracy_energy,FedAvg_q0.75,FedAvg_q1.00
accuracy_energy,FedAvg_q0.75,FedProx_q0.75
accuracy_energy,SCAFFOLD_q0.10,FedAvg_q0.25
accuracy_energy,SCAFFOLD_q0.10,FedAvg_q0.50
accuracy_energy,SCAFFOLD_q0.10,FedAvg_q0.75
accuracy_energy,SCAFFOLD_q0.10,FedAvg_q1.00
accuracy_energy,SCAFFOLD_q0.10,FedProx_q0.10
accuracy_energy,SCAFFOLD_q0.10,FedProx_q0.25
accuracy_energy,SCAFFOLD_q0.10,FedProx_q0.50
accuracy_energy,SCAFFOLD_q0.10,FedProx_q0.75
accuracy_energy,SCAFFOLD_q0.10,FedProx_q1.00
accuracy_energy,SCAFFOLD_q0.25,FedAvg_q0.25
accuracy_energy,SCAFFOLD_q0.25,FedAvg_q0.50
accuracy_energy,SCAFFOLD_q0.25,FedAvg_q0.75
accuracy_energy,SCAFFOLD_q0.25,FedAvg_q1.00
accuracy_energy,SCAFFOLD_q0.25,FedProx_q0.25
accuracy_energy,SCAFFOLD_q0.25,FedProx_q0.50
accuracy_energy,SCAFFOLD_q0.25,FedProx_q0.75
accuracy_energy,SCAFFOLD_q0.25,FedProx_q1.00
accuracy_energy,SCAFFOLD_q0.50,FedAvg_q0.50
accuracy_energy,SCAFFOLD_q0.50,FedAvg_q0.75
accuracy_energy,SCAFFOLD_q0.50,FedAvg_q1.00
accuracy_energy,SCAFFOLD_q0.50,FedProx_q0.50
accuracy_energy,SCAFFOLD_q0.50,FedProx_q0.75
accuracy_energy,SCAFFOLD_q0.50,FedProx_q1.00
accuracy_energy,SCAFFOLD_q0.75,FedAvg_q1.00
accuracy_energy,SCAFFOLD_q0.75,FedProx_q0.75
accuracy_energy,SCAFFOLD_q0.75,FedProx_q1.00
accuracy_energy,SCAFFOLD_q1.00,FedProx_q1.00
accuracy_time_energy,FedAvg_q0.25,FedProx_q0.25
accuracy_time_energy,FedAvg_q0.75,FedAvg_q1.00
accuracy_time_energy,FedAvg_q0.75,FedProx_q0.75
accuracy_time_energy,SCAFFOLD_q0.10,FedAvg_q0.25
accuracy_time_energy,SCAFFOLD_q0.10,FedAvg_q0.50
accuracy_time_energy,SCAFFOLD_q0.10,FedAvg_q0.75
accuracy_time_energy,SCAFFOLD_q0.10,FedAvg_q1.00
accuracy_time_energy,SCAFFOLD_q0.10,FedProx_q0.10
accuracy_time_energy,SCAFFOLD_q0.10,FedProx_q0.25
accuracy_time_energy,SCAFFOLD_q0.10,FedProx_q0.50
accuracy_time_energy,SCAFFOLD_q0.10,FedProx_q0.75
accuracy_time_energy,SCAFFOLD_q0.10,FedProx_q1.00
accuracy_time_energy,SCAFFOLD_q0.25,FedAvg_q0.25
accuracy_time_energy,SCAFFOLD_q0.25,FedAvg_q0.50
accuracy_time_energy,SCAFFOLD_q0.25,FedAvg_q0.75
accuracy_time_energy,SCAFFOLD_q0.25,FedAvg_q1.00
accuracy_time_energy,SCAFFOLD_q0.25,FedProx_q0.25
accuracy_time_energy,SCAFFOLD_q0.25,FedProx_q0.50
accuracy_time_energy,SCAFFOLD_q0.25,FedProx_q0.75
accuracy_time_energy,SCAFFOLD_q0.25,FedProx_q1.00
accuracy_time_energy,SCAFFOLD_q0.50,FedAvg_q0.50
accuracy_time_energy,SCAFFOLD_q0.50,FedAvg_q0.75
accuracy_time_energy,SCAFFOLD_q0.50,FedAvg_q1.00
accuracy_time_energy,SCAFFOLD_q0.50,FedProx_q0.50
accuracy_time_energy,SCAFFOLD_q0.50,FedProx_q0.75
accuracy_time_energy,SCAFFOLD_q0.50,FedProx_q1.00
accuracy_time_energy,SCAFFOLD_q0.75,FedAvg_q1.00
accuracy_time_energy,SCAFFOLD_q0.75,FedProx_q0.75
accuracy_time_energy,SCAFFOLD_q0.75,FedProx_q1.00
accuracy_time_energy,SCAFFOLD_q1.00,FedProx_q1.00
