algorithm,join_ratio,accuracy_mean,accuracy_std,time_median_s,energy_median_j,energy_median_kj,energy_efficiency_acc_per_kj,time_efficiency_acc_per_1000s,configuration,pareto_accuracy_time_global,pareto_accuracy_energy_global,pareto_accuracy_time_energy_global,pareto_accuracy_time_within_algorithm,pareto_accuracy_energy_within_algorithm,normalized_quality_loss,normalized_time_cost,normalized_energy_cost,ideal_distance_accuracy_time,ideal_distance_accuracy_energy,ideal_distance_accuracy_time_energy
FedAvg,0.1,0.69456,0.007288279660397478,1546.82,18177.0699375,18.1770699375,0.038210778876253085,0.4490244501622684,FedAvg_q0.10,False,True,True,True,True,1.0,0.02502901003440283,0.0,0.7073282305066376,0.7071067811865476,0.5775310818023282
FedAvg,0.25,0.7089142857142857,0.0065437928214297685,2840.18,42651.1278125,42.6511278125,0.0166212318893598,0.24960188639955416,FedAvg_q0.25,False,False,False,True,True,0.7789121633515221,0.21404874854949824,0.22019954952163318,0.5711921852461546,0.5723600264809199,0.4833938582502143
FedAvg,0.5,0.71448,0.0006241402249560424,5137.62,81714.527875,81.714527875,0.00874361045190093,0.1390682845364196,FedAvg_q0.50,False,False,False,True,True,0.6931878190459423,0.5498110328741417,0.5716632561320695,0.6256203019179447,0.6353377963277449,0.6081667542035163
FedAvg,0.75,0.7155657142857142,0.0019560893932245938,5373.79,83698.80106250002,83.69880106250001,0.008549294675695334,0.13315848112518616,FedAvg_q0.75,False,False,False,True,True,0.676465411019187,0.584326397231405,0.5895162850105246,0.6320770486288801,0.6344820338661953,0.6182157770820265
FedAvg,1.0,0.7152000000000001,0.0005910903104450375,6762.51,106602.0551875,106.6020551875,0.00670906389883432,0.10575954786018801,FedAvg_q1.00,False,False,False,False,False,0.6820982221439875,0.7872826439613823,0.7955828991642874,0.7365704128373651,0.7410162393951435,0.756752732750812
FedProx,0.1,0.6987085714285715,0.006817217099344275,1765.78,26335.7016875,26.335701687500002,0.02653085077130134,0.3956940113879257,FedProx_q0.10,False,False,False,True,True,0.9361027988030266,0.05702919710162719,0.07340536028959987,0.6631518601530557,0.6639566239017823,0.5431172759076877
FedProx,0.25,0.7064,0.0037777004127065405,2959.57,45800.0469375,45.8000469375,0.015423564979397791,0.23868332223937935,FedProx_q0.25,False,False,False,True,True,0.8176377398345352,0.23149715160921658,0.2485312048746814,0.600883684586671,0.6042761096544311,0.5111719099615994
FedProx,0.5,0.7123542857142857,0.0026979659760944736,5395.59,81180.4378125,81.18043781249999,0.00877495003611078,0.13202528096358057,FedProx_q0.50,False,False,False,True,True,0.7259285337088537,0.5875123858963004,0.5668579070654312,0.6603571153679839,0.6512680411532902,0.630732623340205
FedProx,0.75,0.7149828571428571,0.0026327296302740204,6192.09,95130.8800625,95.1308800625,0.007515780960642021,0.11546712937681092,FedProx_q0.75,False,False,False,True,True,0.6854427037493396,0.7039178891802071,0.6923737130166565,0.6947417127361518,0.6889169248173819,0.6939532773195408
FedProx,1.0,0.7156800000000001,0.0008940620441420901,8218.02,129321.9743125,129.3219743125,0.005534094292982224,0.08708667051187513,FedProx_q1.00,False,False,False,True,True,0.6747051575426845,1.0,1.0,0.8530026522862337,0.8530026522862337,0.9046596136327922
SCAFFOLD,0.1,0.7339657142857143,0.006343577822635864,1375.56,19429.0704375,19.4290704375,0.03777667679196268,0.5335759358266555,SCAFFOLD_q0.10,True,True,True,True,True,0.3930646013025869,0.0,0.011264578498135917,0.27793864502544585,0.2780527571576141,0.22702912553671925
SCAFFOLD,0.25,0.7392114285714285,0.004905873198191637,2384.23,35525.456125,35.525456125,0.020807936313905064,0.3100419961880475,SCAFFOLD_q0.25,True,True,True,True,True,0.31226896673121024,0.14741335718440443,0.15608800317976787,0.24417473810752258,0.24685559778950214,0.21878914521855794
SCAFFOLD,0.5,0.7440114285714285,0.003982697270822907,3948.15,59751.83668750001,59.75183668750001,0.012451691359088793,0.1884455830126587,SCAFFOLD_q0.50,True,True,True,True,True,0.23833832071818403,0.37597443024877014,0.37405913463857804,0.3147712878612432,0.31362827625178014,0.33569935136975027
SCAFFOLD,0.75,0.7525714285714286,0.0017042563762293607,5858.57,92415.527375,92.41552737500001,0.008143343980689246,0.12845650535393938,SCAFFOLD_q0.75,True,True,True,True,True,0.10649533532828788,0.6551751855326885,0.6679429691803179,0.4693590204653988,0.4782724466891772,0.5436737962730643
SCAFFOLD,1.0,0.7594857142857143,0.001168288474300642,7318.8,108474.2231875,108.4742231875,0.007001531718488798,0.10377189078615541,SCAFFOLD_q1.00,True,True,True,True,True,0.0,0.8685823519611366,0.8124272881223575,0.6141804710906803,0.5744728446523161,0.686652119738515
