algorithm,join_ratio,rep,metric,value,q1,q3,iqr,lower_fence,upper_fence,direction
FedAvg,0.5,rep2,best_accuracy,0.7134857142857143,0.7144571428571429,0.7146857142857143,0.00022857142857135582,0.7141142857142859,0.7150285714285713,below_lower_fence
FedAvg,0.5,rep5,best_accuracy,0.7152,0.7144571428571429,0.7146857142857143,0.00022857142857135582,0.7141142857142859,0.7150285714285713,above_upper_fence
FedAvg,0.75,rep1,estimated_energy_kj,94.15864256249999,82.9154681875,85.55844181249999,2.642973624999996,78.95100775,89.52290224999999,above_upper_fence
FedAvg,0.75,rep3,estimated_energy_kj,78.0853805625,82.9154681875,85.55844181249999,2.642973624999996,78.95100775,89.52290224999999,below_lower_fence
FedProx,0.25,rep1,best_accuracy,0.7128571428571429,0.7045714285714286,0.7060571428571428,0.0014857142857142014,0.7023428571428574,0.7082857142857142,above_upper_fence
FedProx,0.25,rep5,execution_time_s,5545.05,2886.19,3388.22,502.02999999999975,2133.1450000000004,4141.264999999999,above_upper_fence
FedProx,0.25,rep5,estimated_energy_kj,92.32769425000001,44.34230893750001,53.6872348125,9.344925874999994,30.324920125000016,67.704623625,above_upper_fence
FedProx,0.75,rep4,execution_time_s,6602.88,6031.97,6215.77,183.80000000000018,5756.27,6491.470000000001,above_upper_fence
FedProx,1.0,rep5,execution_time_s,10441.76,7868.58,8641.72,773.1399999999994,6708.870000000001,9801.429999999998,above_upper_fence
FedProx,1.0,rep5,estimated_energy_kj,167.7132261875,119.50688774999999,131.50290043750002,11.996012687500027,101.51286871874996,149.49691946875006,above_upper_fence
SCAFFOLD,0.1,rep2,execution_time_s,1362.05,1372.13,1376.02,3.8899999999998727,1366.2950000000003,1381.8549999999998,below_lower_fence
SCAFFOLD,0.1,rep3,execution_time_s,1383.29,1372.13,1376.02,3.8899999999998727,1366.2950000000003,1381.8549999999998,above_upper_fence
SCAFFOLD,0.25,rep3,execution_time_s,2822.2,2354.22,2465.43,111.21000000000004,2187.4049999999997,2632.245,above_upper_fence
SCAFFOLD,0.5,rep5,execution_time_s,4386.13,3934.53,3983.71,49.179999999999836,3860.76,4057.4799999999996,above_upper_fence
SCAFFOLD,0.5,rep5,estimated_energy_kj,62.7944989375,59.00734975,59.8215859375,0.8142361874999935,57.785995468750016,61.04294021874999,above_upper_fence
SCAFFOLD,0.75,rep5,execution_time_s,11609.26,5550.8,7475.8,1925.0,2663.3,10363.3,above_upper_fence
SCAFFOLD,0.75,rep5,estimated_energy_kj,197.3660203125,84.41699025,118.1980665625,33.781076312500005,33.74537578124999,168.86968103125002,above_upper_fence
