algorithm,join_ratio,metric,n,mean,median,standard_deviation,minimum,q1,q3,maximum,iqr,coefficient_of_variation_percent
FedAvg,0.1,best_accuracy,5,0.6945600000000001,0.6968,0.00728718052472973,0.6848,0.6899,0.6978,0.7035,0.007900000000000018,1.0491794121069065
FedAvg,0.25,best_accuracy,5,0.70892,0.7118,0.006520506115325702,0.6993,0.7054,0.7126,0.7155,0.007199999999999984,0.9197802453486573
FedAvg,0.5,best_accuracy,5,0.7144999999999999,0.7146,0.0006204836822995192,0.7135,0.7145,0.7147,0.7152,0.00019999999999997797,0.08684166302302579
FedAvg,0.75,best_accuracy,5,0.7155400000000001,0.7154,0.0019501282009139996,0.7134,0.7141,0.7165,0.7183,0.0024000000000000687,0.27253936899600295
FedAvg,1.0,best_accuracy,5,0.7152000000000001,0.715,0.0006164414002968838,0.7145,0.7149,0.7155,0.7161,0.0006000000000000449,0.08619147095873654
FedProx,0.1,best_accuracy,5,0.6986800000000001,0.6963,0.006813736126384692,0.692,0.6943,0.7018,0.709,0.007499999999999951,0.9752298801146005
FedProx,0.25,best_accuracy,5,0.7064199999999999,0.7054,0.0037903825664436573,0.7031,0.7046,0.7061,0.7129,0.0014999999999999458,0.5365621820508562
FedProx,0.5,best_accuracy,5,0.71236,0.7119,0.002660451089571103,0.7093,0.7109,0.7134,0.7163,0.0025000000000000577,0.37347002773472726
FedProx,0.75,best_accuracy,5,0.715,0.7159,0.0026514147167125655,0.7119,0.7125,0.7169,0.7178,0.0043999999999999595,0.37082723310665255
FedProx,1.0,best_accuracy,5,0.71568,0.7155,0.000892748564826617,0.7148,0.715,0.7161,0.717,0.0010999999999999899,0.12474130405022035
SCAFFOLD,0.1,best_accuracy,5,0.73396,0.7337,0.00634255469034362,0.7265,0.7293,0.7383,0.742,0.009000000000000008,0.8641553613744102
SCAFFOLD,0.25,best_accuracy,5,0.73924,0.7378,0.004891114392446772,0.7329,0.7373,0.743,0.7452,0.005700000000000038,0.6616409274994282
SCAFFOLD,0.5,best_accuracy,5,0.7440199999999999,0.7451,0.00400587069187214,0.7383,0.7422,0.7455,0.749,0.0033000000000000806,0.5384090067299455
SCAFFOLD,0.75,best_accuracy,5,0.7525999999999999,0.7533,0.0017058722109231925,0.7506,0.7511,0.7533,0.7547,0.0021999999999999797,0.22666386007483294
