algorithm,join_ratio,selected_clients_per_cycle,nominal_client_participations_50_rounds,actual_client_participations_51_cycles,actual_local_training_batches,actual_local_training_sample_presentations,evaluation_train_batches_all_clients,evaluation_test_batches_all_clients,evaluation_sample_presentations_all_clients,median_execution_time_s,median_estimated_energy_kj,observed_seconds_per_client_participation,observed_kj_per_client_participation
FedAvg,0.1,10,500,510,132600,1326000,265200,91800,3544500,1546.82,18.1770699375,3.0329803921568628,0.03564131360294118
FedAvg,0.25,25,1250,1275,331500,3315000,265200,91800,3544500,2840.18,42.6511278125,2.227592156862745,0.03345186495098039
FedAvg,0.5,50,2500,2550,663000,6630000,265200,91800,3544500,5137.62,81.714527875,2.0147529411764706,0.032044912892156864
FedAvg,0.75,75,3750,3825,994500,9945000,265200,91800,3544500,5373.79,83.69880106250001,1.4049124183006536,0.021882039493464053
FedAvg,1.0,100,5000,5100,1326000,13260000,265200,91800,3544500,6762.51,106.6020551875,1.3259823529411765,0.020902363762254902
FedProx,0.1,10,500,510,132600,1326000,265200,91800,3544500,1765.78,26.335701687500002,3.462313725490196,0.051638630759803926
FedProx,0.25,25,1250,1275,331500,3315000,265200,91800,3544500,2959.57,45.8000469375,2.3212313725490197,0.03592160544117647
FedProx,0.5,50,2500,2550,663000,6630000,265200,91800,3544500,5395.59,81.18043781249999,2.1159176470588235,0.03183546580882352
FedProx,0.75,75,3750,3825,994500,9945000,265200,91800,3544500,6192.09,95.1308800625,1.6188470588235295,0.024870818316993462
FedProx,1.0,100,5000,5100,1326000,13260000,265200,91800,3544500,8218.02,129.3219743125,1.6113764705882354,0.02535724986519608
SCAFFOLD,0.1,10,500,510,132600,1326000,265200,91800,3544500,1375.56,19.4290704375,2.6971764705882353,0.03809621654411764
SCAFFOLD,0.25,25,1250,1275,331500,3315000,265200,91800,3544500,2384.23,35.525456125,1.8699843137254901,0.02786310284313725
SCAFFOLD,0.5,50,2500,2550,663000,6630000,265200,91800,3544500,3948.15,59.75183668750001,1.5482941176470588,0.023432092818627456
SCAFFOLD,0.75,75,3750,3825,994500,9945000,265200,91800,3544500,5858.57,92.41552737500001,1.5316522875816994,0.024160922189542487
SCAFFOLD,1.0,100,5000,5100,1326000,13260000,265200,91800,3544500,7318.8,108.4742231875,1.4350588235294117,0.021269455526960784
