algorithm,join_ratio,rep,best_acc,total_time,cpu_mean,gpu_mean,outlier_time,outlier_acc,outlier_type
FedAvg,0.75,rep1,0.7141142857142857,5889.04,99.95812457569586,81.33713022781367,False,False,normal
FedAvg,0.75,rep3,0.7165142857142857,5148.09,100.71119522691706,74.13521457965902,False,False,normal
FedAvg,0.75,rep5,0.7154285714285714,5335.11,101.06979727169383,79.9003605997343,False,False,normal
FedAvg,0.75,rep2,0.7183428571428572,5616.55,99.96533724862074,73.8213266761769,False,False,normal
FedAvg,0.75,rep4,0.7134285714285714,5373.79,101.87527862016678,78.35282947208508,False,False,normal
FedAvg,0.5,rep1,0.7144571428571429,6777.9,100.0105825958702,88.94945314809341,False,False,normal
FedAvg,0.5,rep3,0.7145714285714285,5137.62,102.10584425903853,83.50338375796179,False,False,normal
FedAvg,0.5,rep5,0.7152,3665.3,99.95100572363042,72.36773136773137,False,True,accuracy_only
FedAvg,0.5,rep2,0.7134857142857143,6765.93,101.08955489171024,85.61416379697559,False,True,accuracy_only
FedAvg,0.5,rep4,0.7146857142857143,3962.91,101.07238338006627,78.01302681992337,False,False,normal
FedAvg,0.1,rep1,0.6978285714285715,1709.63,106.949063670412,61.563477173233274,False,False,normal
FedAvg,0.1,rep3,0.6968,1265.83,107.35396449704143,57.81218274111675,False,False,normal
FedAvg,0.1,rep5,0.7034857142857143,1704.79,105.1039028887523,47.36761083743843,False,False,normal
FedAvg,0.1,rep2,0.6848,1199.88,107.68702412868633,61.38819320214669,False,False,normal
FedAvg,0.1,rep4,0.6898857142857143,1546.82,106.39392049348868,44.808510638297875,False,False,normal
FedAvg,0.25,rep1,0.7118285714285715,2840.18,100.1410809859155,54.560691601976,False,False,normal
FedAvg,0.25,rep3,0.7126285714285714,2773.31,99.9870903853079,75.11652236652236,False,False,normal
FedAvg,0.25,rep5,0.6992571428571429,3775.01,100.00018258798625,84.56377618668787,False,False,normal
FedAvg,0.25,rep2,0.7053714285714285,2240.81,99.96888195991092,67.40562248995984,False,False,normal
FedAvg,0.25,rep4,0.7154857142857143,4073.12,99.99785381407898,86.29473942969518,False,False,normal
FedAvg,1.0,rep1,0.7154857142857143,7295.59,99.9380295971499,77.16790225151016,False,False,normal
FedAvg,1.0,rep3,0.7150285714285715,6307.99,99.93395404120444,74.26428571428572,False,False,normal
FedAvg,1.0,rep5,0.7160571428571428,7034.23,99.9372524506322,75.13393111300883,False,False,normal
FedAvg,1.0,rep2,0.7149142857142857,6419.7,99.93386951105576,76.64451723600062,False,False,normal
FedAvg,1.0,rep4,0.7145142857142858,6762.51,99.94037102734663,79.12009477269362,False,False,normal
FedProx,0.75,rep1,0.7168571428571429,6192.09,99.93516300839251,75.07113985448666,False,False,normal
FedProx,0.75,rep3,0.7177714285714286,5994.88,99.9477259086362,70.77788911155645,False,False,normal
FedProx,0.75,rep5,0.7119428571428571,6031.97,99.94605468102735,73.27053941908714,False,False,normal
FedProx,0.75,rep2,0.7158857142857142,6215.77,99.92852227046149,76.3505719349122,False,False,normal
FedProx,0.75,rep4,0.7124571428571429,6602.88,99.9399863760218,69.9299256787502,True,False,time_only
FedProx,0.5,rep1,0.7092571428571428,5395.59,99.95375995554734,71.92761692650335,False,False,normal
FedProx,0.5,rep3,0.7134285714285714,6161.27,99.9649602595296,85.08369900861368,False,False,normal
FedProx,0.5,rep5,0.7163428571428572,4861.02,99.95875822368421,67.18496395468588,False,False,normal
FedProx,0.5,rep2,0.7108571428571429,5614.89,99.95574581701673,83.28250401284109,False,False,normal
FedProx,0.5,rep4,0.7118857142857142,4719.81,99.94100148210883,75.93573700954401,False,False,normal
FedProx,0.1,rep1,0.6943428571428572,1573.02,99.81046924540266,66.06154822335026,False,False,normal
FedProx,0.1,rep3,0.7018285714285715,2102.08,100.01292833412434,57.81169757489301,False,False,normal
FedProx,0.1,rep5,0.692,1974.36,100.00612234580383,74.6742654508612,False,False,normal
FedProx,0.1,rep2,0.6963428571428572,1663.97,100.003051558753,66.44804804804805,False,False,normal
FedProx,0.1,rep4,0.7090285714285715,1765.78,99.99948616600793,70.20757918552036,False,False,normal
FedProx,0.25,rep1,0.7128571428571429,2959.57,99.97272941970311,76.03717472118959,False,True,accuracy_only
FedProx,0.25,rep3,0.7054285714285714,2886.19,99.96117993079585,74.95667244367418,False,False,normal
FedProx,0.25,rep5,0.7045714285714286,5545.05,99.99429987385115,87.96767786204406,True,False,time_only
FedProx,0.25,rep2,0.7030857142857143,2848.22,99.9667636746143,74.12328767123287,False,False,normal
FedProx,0.25,rep4,0.7060571428571428,3388.22,99.97676591981133,79.8576070901034,False,False,normal
FedProx,1.0,rep1,0.7160571428571428,7760.34,99.93670874661856,72.32051612903226,False,False,normal
FedProx,1.0,rep3,0.7154857142857143,7868.58,99.93428353658537,73.34538050394502,False,False,normal
FedProx,1.0,rep5,0.7170285714285715,10441.76,99.95593815814665,82.14965464313124,True,False,time_only
FedProx,1.0,rep2,0.7150285714285715,8641.72,99.94548808697664,73.67431617987947,False,False,normal
FedProx,1.0,rep4,0.7148,8218.02,99.93099367550474,78.87653869591712,False,False,normal
SCAFFOLD,0.75,rep1,0.7505714285714286,5533.69,99.92385587863467,72.69247467438495,False,False,normal
SCAFFOLD,0.75,rep6_rerun_outlier,0.7530857142857142,6067.96,99.87887516469038,80.02144860584062,False,False,normal
SCAFFOLD,0.75,rep3,0.7510857142857142,5550.8,99.92986676269355,73.50297565374211,False,False,normal
SCAFFOLD,0.75,rep5,0.7532571428571428,11609.26,99.98542581589598,91.55733885581155,True,False,time_only
SCAFFOLD,0.75,rep2,0.7546857142857143,5858.57,99.92979529170931,79.2114168518202,False,False,normal
SCAFFOLD,0.75,rep4,0.7532571428571428,7475.8,99.9436577540107,79.61789924973205,False,False,normal
SCAFFOLD,0.5,rep1,0.7489714285714286,3948.15,99.93705718623482,72.86239229599595,False,False,normal
SCAFFOLD,0.5,rep3,0.7383428571428572,3926.84,99.93417811704835,71.63786952089704,False,False,normal
SCAFFOLD,0.5,rep5,0.7454857142857143,4386.13,99.9488861047836,64.56047466910087,True,False,time_only
SCAFFOLD,0.5,rep2,0.7421714285714286,3983.71,99.9398921765296,71.35367997990454,False,False,normal
SCAFFOLD,0.5,rep4,0.7450857142857142,3934.53,99.94090909090909,70.95040691759918,False,False,normal
SCAFFOLD,0.1,rep1,0.742,1372.13,99.76477124183009,64.42327272727273,False,False,normal
SCAFFOLD,0.1,rep3,0.7383428571428572,1383.29,99.9979163662581,61.9870036101083,True,False,time_only
SCAFFOLD,0.1,rep5,0.7265142857142857,1375.56,99.99938405797101,61.49927431059506,False,False,normal
SCAFFOLD,0.1,rep2,0.7336571428571429,1362.05,100.00447619047618,61.86510263929619,True,False,time_only
SCAFFOLD,0.1,rep4,0.7293142857142857,1376.02,99.99934057971016,62.24455732946299,False,False,normal
SCAFFOLD,0.25,rep1,0.7328571428571429,2322.23,99.96394668959587,69.25441239776151,False,False,normal
SCAFFOLD,0.25,rep3,0.7377714285714285,2822.2,99.96217268223637,64.0074441687345,True,False,time_only
SCAFFOLD,0.25,rep5,0.7452,2384.23,99.95170016750419,70.2751677852349,False,False,normal
SCAFFOLD,0.25,rep2,0.7372571428571428,2354.22,99.95257421543681,69.16518046709129,False,False,normal
SCAFFOLD,0.25,rep4,0.7429714285714286,2465.43,99.95107692307693,71.5,False,False,normal
SCAFFOLD,1.0,rep1,0.7598857142857143,10719.92,99.95847803786253,87.18502943650127,False,False,normal
SCAFFOLD,1.0,rep3,0.7582285714285715,6938.3,99.93927542494957,68.78834223055836,False,False,normal
SCAFFOLD,1.0,rep5,0.7602285714285715,7185.7,99.93122409236334,72.40434722028702,False,False,normal
SCAFFOLD,1.0,rep2,0.7608,10426.17,99.95740172579099,84.38706888269766,False,False,normal
SCAFFOLD,1.0,rep4,0.7582857142857143,7318.8,99.94928025129744,64.57564979480163,False,False,normal
