algorithm,join_ratio,best_acc_mean,best_acc_std,total_time_median,cpu_mean_mean,gpu_mean_mean,eff_time,eff_gpu,eff_global
FedAvg,0.1,0.69456,0.007288279660397488,1546.82,106.69757513567615,54.5879949184466,0.00044902445016226837,0.012723676717521115,8.225699640243284e-06
FedAvg,0.25,0.7089142857142857,0.006543792821429765,2840.18,100.0190179466399,73.58827041496825,0.0002496018863995542,0.009633522866031224,3.3918705384979916e-06
FedAvg,0.5,0.71448,0.0006241402249560178,5137.62,100.84587417006313,81.6895517781371,0.0001390682845364196,0.008746283759035377,1.7023998970409212e-06
FedAvg,0.75,0.7155657142857142,0.001956089393224585,5373.79,100.71594658861885,77.5093723110938,0.0001331584811251862,0.009231989538164488,1.717966191117347e-06
FedAvg,1.0,0.7152000000000001,0.0005910903104450223,6762.51,99.93669532547779,76.4661462174998,0.00010575954786018802,0.00935315869019592,1.383089812835163e-06
FedProx,0.1,0.6987085714285715,0.00681721709934428,1765.78,99.96641153001835,67.04062769653459,0.0003956940113879257,0.01042216631072338,5.902301708436713e-06
FedProx,0.25,0.7064,0.0037777004127065093,2959.57,99.97434776375515,78.58848395764882,0.00023868332223937936,0.008988594313394284,3.0371284725126566e-06
FedProx,0.5,0.7123542857142857,0.002697965976094495,5395.59,99.95484514757734,76.6829041824376,0.00013202528096358058,0.009289610158993346,1.7217042360508022e-06
FedProx,0.75,0.7149828571428571,0.002632729630273989,6192.09,99.93949044890788,73.08001319975853,0.00011546712937681092,0.009783562233199209,1.580009695143192e-06
FedProx,1.0,0.7156800000000001,0.000894062044142077,8218.02,99.94068244076638,76.07328123038101,8.708667051187513e-05,0.009407770881245786,1.1447734224601286e-06
SCAFFOLD,0.1,0.7339657142857143,0.00634357782263583,1375.56,99.95317768724911,62.403842123347054,0.0005335759358266556,0.011761546874549202,8.5503699399148e-06
SCAFFOLD,0.25,0.7392114285714285,0.0049058731981915845,2384.23,99.95629413557003,68.84044096376445,0.0003100419961880475,0.010738040288854734,4.503777021870682e-06
SCAFFOLD,0.5,0.7440114285714285,0.003982697270822924,3948.15,99.9401845351011,70.27296467669952,0.00018844558301265871,0.010587448985457722,2.6816227816718515e-06
SCAFFOLD,0.75,0.7526571428571428,0.0015387246242871764,5963.264999999999,99.9319127779391,79.43392564855525,0.00012621561222872754,0.009475260560420662,1.5889383685649828e-06
SCAFFOLD,1.0,0.7594857142857143,0.0011682884743006198,7318.8,99.94713190645277,75.46808751296919,0.00010377189078615542,0.010063667164683307,1.3750433356128471e-06
